id,code,img,title
8109412,GN0400,https://cdnimg.melon.co.kr/cm/album/images/026/74/623/2674623_500.jpg/melon/resize/120/quality/80/optimize,D(halfmoon)(Feat.개코)
8233373,GN0400,https://cdnimg.melon.co.kr/cm/album/images/026/92/170/2692170_500.jpg/melon/resize/120/quality/80/optimize,Byebyemyblue
8271355,GN0300,https://cdnimg.melon.co.kr/cm/album/images/026/88/360/2688360_500.jpg/melon/resize/120/quality/80/optimize,"AndJuly(Feat.DEAN,DJFriz)"
30049271,GN0400,https://cdnimg.melon.co.kr/cm/album/images/100/08/163/10008163_500.jpg/melon/resize/120/quality/80/optimize,"AllIWannaDo(K)(Feat.Hoody,Loco)"
30157753,GN0400,https://cdnimg.melon.co.kr/cm/album/images/100/24/106/10024106_500.jpg/melon/resize/120/quality/80/optimize,Beautiful
30177124,GN0700,https://cdnimg.melon.co.kr/cm/album/images/100/27/181/10027181_500.jpg/melon/resize/120/quality/80/optimize,내이름아시죠
30244931,GN0300,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,봄날
30461396,GN0400,https://cdnimg.melon.co.kr/cm/album/images/100/69/644/10069644_500.jpg/melon/resize/120/quality/80/optimize,"무제(無題)(Untitled,2014)"
30492279,GN0400,https://cdnimg.melon.co.kr/cm/album/images/100/74/454/10074454_500.jpg/melon/resize/120/quality/80/optimize,비도오고그래서(Feat.신용재)
30607447,GN0700,https://cdnimg.melon.co.kr/cm/album/images/100/92/319/10092319_500.jpg/melon/resize/120/quality/80/optimize,고맙소
30613202,GN0300,https://cdnimg.melon.co.kr/cm/album/images/100/93/389/10093389_500.jpg/melon/resize/120/quality/80/optimize,시차(WeAre)(Feat.로꼬&GRAY)
30660283,GN0300,https://cdnimg.melon.co.kr/cm/album/images/101/00/658/10100658_500.jpg/melon/resize/120/quality/80/optimize,Jasmine
30732377,GN0400,https://cdnimg.melon.co.kr/cm/album/images/101/11/920/10111920_500.jpg/melon/resize/120/quality/80/optimize,Boat
30806580,GN0400,https://cdnimg.melon.co.kr/cm/album/images/101/22/929/10122929_500.jpg/melon/resize/120/quality/80/optimize,instagram
30809895,GN0400,https://cdnimg.melon.co.kr/cm/album/images/101/23/639/10123639_500.jpg/melon/resize/120/quality/80/optimize,미안해
30877002,GN0100,https://cdnimg.melon.co.kr/cm/album/images/101/36/251/10136251_500.jpg/melon/resize/120/quality/80/optimize,눈사람
30948698,GN0400,https://cdnimg.melon.co.kr/cm/album/images/101/47/314/10147314_500.jpg/melon/resize/120/quality/80/optimize,꽃길
30962526,GN0100,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize,"모든날,모든순간(Everyday,EveryMoment)"
31249401,GN0400,https://cdnimg.melon.co.kr/cm/album/images/101/94/744/10194744_500.jpg/melon/resize/120/quality/80/optimize,josee!
31295312,GN0300,https://cdnimg.melon.co.kr/cm/album/images/102/02/362/10202362_500.jpg/melon/resize/120/quality/80/optimize,Trip(Feat.Hannah)
31344113,GN0300,https://cdnimg.melon.co.kr/cm/album/images/102/10/198/10210198_500.jpg/melon/resize/120/quality/80/optimize,시간이들겠지(Feat.Colde)
31368699,GN0700,https://cdnimg.melon.co.kr/cm/album/images/102/14/084/10214084_500.jpg/melon/resize/120/quality/80/optimize,니가왜거기서나와(Narr.고은아)
31655897,GN0700,https://cdnimg.melon.co.kr/cm/album/images/102/59/010/10259010_500.jpg/melon/resize/120/quality/80/optimize,오늘밤에
31657932,GN0700,https://cdnimg.melon.co.kr/cm/album/images/102/59/403/10259403_500.jpg/melon/resize/120/quality/80/optimize,목포행완행열차
31657937,GN0700,https://cdnimg.melon.co.kr/cm/album/images/102/59/403/10259403_500.jpg/melon/resize/120/quality/80/optimize,사랑참
31742666,GN0100,https://cdnimg.melon.co.kr/cm/album/images/102/74/611/10274611_500.jpg/melon/resize/120/quality/80/optimize,나무
31853557,GN0400,https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg/melon/resize/120/quality/80/optimize,오늘도빛나는너에게(ToYouMyLight)(Feat.이라온)
31893681,GN0400,https://cdnimg.melon.co.kr/cm/album/images/103/01/811/10301811_500.jpg/melon/resize/120/quality/80/optimize,"괜찮아도괜찮아(That\"sokay)"
31918235,GN0700,https://cdnimg.melon.co.kr/cm/album/images/103/05/694/10305694_500.jpg/melon/resize/120/quality/80/optimize,평행선
